# list of object 	 to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
koopa.txt
pipe.txt
pipebody.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 7=PipeHead,  8=PipeBody
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

# BRICKS
1	0	148
1	0	164

1	0	180
1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180
1	368	180
1	384	180
1	400	180
1	416	180
1	432	180
1	448	180
1	464	180
1	480	180
1	496	180
1	512	180
1	528	180
1	544	180
1	560	180
1	576	180
1	592	180
1	608	180
1	624	180
1	640	180
1	656	180
1	672	180
1	0	196
1	16	196
1	32	196
1	48	196
1	64	196
1	80	196
1	96	196
1	112	196
1	128	196
1	144	196
1	160	196
1	176	196
1	192	196
1	208	196
1	224	196
1	240	196
1	256	196
1	272	196
1	288	196
1	304	196
1	320	196
1	336	196
1	352	196
1	368	196
1	384	196
1	400	196
1	416	196
1	432	196
1	448	196
1	464	196
1	480	196
1	496	196
1	512	196
1	528	196
1	544	196
1	560	196
1	576	196
1	592	196
1	608	196
1	624	196
1	640	196
1	656	196
1	672	196

1	672	148
1	672	164

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

#Goomba
2	300	164
2	200	164
2	250	164


#koopa
3	250	10


#Portal 
50	300	110	316	140	2


7	100	156



8       150     156
